Location,Latitude,Longtitude
Kokura,33.8835,130.8752
Kyoto,35.0116,135.7681
Tokyo,35.6764,139.6500
Tokyo,35.6764,139.6500
Mount Fuji,35.3606,138.7274
Tokyo,35.6764,139.6500
Hokkaido,43.2203,142.8635
Sapporo,43.0618,141.3545
Sapporo,43.0618,141.3545
