name,special person
Kota Sakuraba,Mrs. Akemi Sakuraba
Diana  Sakuraba,Hiromi Sakuraba
Spin Tsukuda,Shiori Tsukuda
Tora,Mom
Ten,Dad
N/A,N/A
Tom,Narrator
Hachi,Satoru and Tsutomu (later owner)
Nana,Satoru
Chatran,Daigo Yoishimine
Momo,Chikako
N/A,Kosuke
Calico,Noriko
