name,breed
Kota,Silver tabby
Diana,Persian
Spin,Orange tabby
Tora,Tabby with tiger stripes
Ten,Tortoise shell
Unknown,Black tabby
Tom,Cat with black eyes
Hachi,White tabby
Nana,White tabby
Chatran,Orange tabby
Momo,Brown tabby
Unknown, Mackerel tabby
Calico,Calico 

