name,life_span
Kota,23
Diana,16
Spin Tsukuda,N/A
Tora,18
Ten,N/A
N/A,N/A
Tom,N/A
Hachi,5
Nana,N/A
Chatran,N/A
Momo,At least 15 years.
N/A,N/A
Calico,N/A
