cat_name,special_person
Kota_c,Akemi
Diana_c,Hiromi
Spin_c,Shiori
Tora_c,Mom
Ten_c,Dad
Hachi_c,Tsutomu
Tom_c,Narrator
Hachi_c,Satoru
Nana_c,Satoru
Chatran_c,Daigo
Momo,Chikako
N/A,Kosuke
Calico,Noriko
